email_text,category
"Hey Omar, can you send me the latest version of the meeting notes by end of day? Thanks!",work
FYI - i've attached the project plan for your review. Let's discuss it in tomorrow's sync. Talk soon.,work
FYI - thanks for shopping with Wayne Enterprises! Here's a 20% coupon for your next order. Cheers.,promotional
"Hi Jordan, join the local book club meeting this next week evening at the library. Cheers.",social
"Hello, action required: your password will expire in 24 hours, please reset it now. Cheers.",important
"Hello, please review the project plan before our meeting on Friday.",work
"Hey Alex, join the local book club meeting this Tuesday evening at the library. Cheers.",social
"FYI - ahmed commented on your recent post, come see what they said! Cheers.",social
"Hi Priya, please review the quarterly report before our meeting on next week.",work
"Hey Grace, fINAL NOTICE: Claim your unclaimed prize of $5,000 now or lose it forever! Thanks!",spam
Quick note: get 70% off our spring collection today only! Shop now before it's gone.,promotional
Can you send me the latest version of the project plan by end of day?,work
"Quick note: your subscription renewal for Umbrella Inc failed, please update your payment method. Thanks!",important
"Hello, join us for the community event this Saturday at the park!",social
FYI - reminder: the website redesign deadline is Monday. Let me know if you need an extension. Talk soon.,work
Quick note: join the local book club meeting this Wednesday evening at the library.,social
"Hello, your subscription renewal for Umbrella Inc failed, please update your payment method. Talk soon.",important
"Hey Chen, you have a new friend request on Stark Industries Social. Best regards.",social
Quick note: your account requires immediate verification due to a security issue.,important
"Hey Noah, flash sale: 70% off everything at Hooli store, this weekend only.",promotional
"Hi Priya, you have a new friend request on Hooli Social. Thanks!",social
FYI - the client requested changes to the onboarding flow proposal. Can we talk today? Thanks!,work
"Hey Priya, can you believe the game last night? Let's watch the next one together. Let me know.",personal
FYI - team standup is at 4:30 PM today. Please share your updates in the channel.,work
"FYI - hey, I found that recipe you were asking about, sending it over now. Let me know.",personal
The client requested changes to the mobile app proposal. Can we talk today? Thanks!,work
"Hi Lena, you have a new friend request on Hooli Social. Talk soon.",social
"Hey Sam, hooli Rewards: you've earned points! Redeem them for 30% off today. Talk soon.",promotional
"Hi Omar, new newsletter from Wayne Enterprises: top picks and deals just for you this week. Cheers.",promotional
"Hello, just booked the trip for next month, so excited to see you! Cheers.",personal
"Your payment for Globex could not be processed, please update your billing info. Thanks!",important
"FYI - you've been invited to Taylor's event, tap to RSVP. Let me know.",social
FYI - get 10% off our spring collection today only! Shop now before it's gone. Let me know.,promotional
"You've been chosen for an exclusive $5,000 reward. Click the link below before midnight! Best regards.",spam
"Hello, let's schedule a call to align on the onboarding flow roadmap this Wednesday.",work
Quick note: i've attached the project plan for your review. Let's discuss it in tomorrow's sync. Cheers.,work
You have a new friend request on Acme Corp Social. Talk soon.,social
"Hello, important: changes to your health insurance plan take effect on Thursday. Talk soon.",important
"Fatima tagged you in a photo, check it out now. Best regards.",social
"Hello, new arrivals just landed! Check out our latest winter collection now. Cheers.",promotional
"Hey Lena, let's schedule a call to align on the migration roadmap this next week. Best regards.",work
"Hey Maria, you are our lucky winner! Claim your free laptop today, limited time only! Cheers.",spam
"Hey Lena, flash sale: 10% off everything at Nakatomi Trading store, this weekend only.",promotional
"Hello, taylor commented on your recent post, come see what they said! Let me know.",social
"Hi Priya, thanks for shopping with Acme Corp! Here's a 20% coupon for your next order. Best regards.",promotional
"Hi Ahmed, thanks for helping me move last weekend, I really appreciate it!",personal
"Quick note: action required: your password will expire in 24 hours, please reset it now. Best regards.",important
"Hi Jordan, join us for the community event this Saturday at the park! Best regards.",social
"Hello, you are our lucky winner! Claim your free gift card today, limited time only! Talk soon.",spam
"Hey Jordan, action required: your password will expire in 24 hours, please reset it now. Let me know.",important
"Hello, you won! Enter your bank details to receive your $5,000 winnings instantly. Thanks!",spam
"Final reminder: your tax documents are due by Wednesday, please submit them soon. Let me know.",important
"FYI - you won! Enter your bank details to receive your $10,000 winnings instantly. Best regards.",spam
"FYI - please find attached the quarterly report for the onboarding flow project, feedback welcome.",work
Quick note: you won! Enter your bank details to receive your $1000 winnings instantly. Let me know.,spam
FYI - following up on the migration status — are we still on track for next week?,work
"Hi Sam, new newsletter from Initech: top picks and deals just for you this week. Let me know.",promotional
"Thanks for helping me move last weekend, I really appreciate it! Talk soon.",personal
"Hi Omar, it was great catching up yesterday, let's do it again soon! Cheers.",personal
"Hey Lena, please review the quarterly report before our meeting on Tuesday. Talk soon.",work
Don't miss our back-to-school clearance sale — up to 20% off select items. Cheers.,promotional
"Your payment for Nakatomi Trading could not be processed, please update your billing info. Cheers.",important
"FYI - you've been invited to Omar's event, tap to RSVP. Cheers.",social
"Hey Ahmed, please review the quarterly report before our meeting on next week. Thanks!",work
"FYI - hey, are we still on for dinner this weekend? Thanks!",personal
FYI - the meeting has been moved to 10 AM tomorrow. Please update your calendar. Let me know.,work
"Hello, can you believe the game last night? Let's watch the next one together. Talk soon.",personal
"Hi Taylor, chen tagged you in a photo, check it out now. Cheers.",social
"Hello, please review the presentation deck before our meeting on Wednesday.",work
Quick note: important: changes to your health insurance plan take effect on Friday. Cheers.,important
"FYI - can't wait for the weekend hike, what time should we meet up?",personal
FYI - new arrivals just landed! Check out our latest fall collection now. Let me know.,promotional
"Hey Fatima, reminder: the onboarding flow deadline is Monday. Let me know if you need an extension. Let me know.",work
"Hey Noah, hey, I found that recipe you were asking about, sending it over now.",personal
Quick note: join us for the community event this Saturday at the park!,social
"FYI - you are our lucky winner! Claim your free vacation package today, limited time only! Thanks!",spam
"Hi John, your group 'mobile app Fans' has 3 new posts today. Let me know.",social
Quick note: hope you're feeling better! Let me know if you need anything. Thanks!,personal
Don't miss our fall clearance sale — up to 20% off select items. Cheers.,promotional
"Hi Taylor, happy birthday! Hope you have an amazing day, let's celebrate this weekend.",personal
Quick note: uRGENT: You have been selected to receive $250 cash prize. Claim before it expires! Let me know.,spam
"Hello, you are our lucky winner! Claim your free vacation package today, limited time only! Best regards.",spam
"Hey Sara, your payment for Hooli could not be processed, please update your billing info. Best regards.",important
Quick note: hope you're feeling better! Let me know if you need anything. Let me know.,personal
"Hello, fINAL NOTICE: Claim your unclaimed prize of $750 now or lose it forever! Talk soon.",spam
"Hello, your account requires immediate verification due to a security issue. Talk soon.",important
"Hello, you've been chosen for an exclusive $750 reward. Click the link below before midnight! Cheers.",spam
FYI - can you send me the latest version of the budget spreadsheet by end of day? Let me know.,work
"FYI - happy birthday! Hope you have an amazing day, let's celebrate this weekend. Talk soon.",personal
FYI - last chance: our holiday sale ends tonight. Save 70% before midnight. Best regards.,promotional
"FYI - we detected unusual sign-in activity on your account, please confirm it was you. Cheers.",important
"Quick note: hey, I found that recipe you were asking about, sending it over now. Talk soon.",personal
Quick note: globex Rewards: you've earned points! Redeem them for 20% off today. Talk soon.,promotional
"Hello, happy birthday! Hope you have an amazing day, let's celebrate this weekend. Cheers.",personal
"Hey Lena, happy birthday! Hope you have an amazing day, let's celebrate this weekend. Let me know.",personal
Quick note: can you believe the game last night? Let's watch the next one together. Best regards.,personal
"Hey John, uRGENT: You have been selected to receive $1000 cash prize. Claim before it expires! Best regards.",spam
"Hello, initech Rewards: you've earned points! Redeem them for 10% off today. Thanks!",promotional
"Hello, weekly digest: see what your friends have been up to this week.",social
Important: changes to your health insurance plan take effect on next week. Best regards.,important
The meeting has been moved to 4:30 PM tomorrow. Please update your calendar. Thanks!,work
"Hello, can you believe the game last night? Let's watch the next one together. Cheers.",personal
Quick note: reminder: your annual review with HR is scheduled for next week at 2 PM. Thanks!,important
"FYI - thanks for helping me move last weekend, I really appreciate it! Cheers.",personal
"Hello, hope you're feeling better! Let me know if you need anything. Best regards.",personal
"Hi Sam, thanks for helping me move last weekend, I really appreciate it! Thanks!",personal
Your account requires immediate verification due to a security issue.,important
"Hi Jordan, new newsletter from Nakatomi Trading: top picks and deals just for you this week. Talk soon.",promotional
"Quick note: you are our lucky winner! Claim your free gift card today, limited time only! Cheers.",spam
FYI - congratulations! You have won a $1000 gift card. Click this link to claim your reward now! Talk soon.,spam
Important: changes to your health insurance plan take effect on Thursday.,important
"Quick note: sara commented on your recent post, come see what they said! Best regards.",social
"Hello, don't miss our spring clearance sale — up to 30% off select items. Let me know.",promotional
"Hello, we detected unusual sign-in activity on your account, please confirm it was you.",important
"Hi Ahmed, ahmed commented on your recent post, come see what they said! Let me know.",social
"Quick note: we detected unusual sign-in activity on your account, please confirm it was you. Let me know.",important
"Hello, notice: scheduled maintenance will affect your account access on Monday. Best regards.",important
"Hey Sara, the meeting has been moved to 9 AM tomorrow. Please update your calendar. Let me know.",work
Quick note: i've attached the budget spreadsheet for your review. Let's discuss it in tomorrow's sync.,work
"Hey Priya, free iPhone waiting for you! Just click and confirm your shipping address to claim.",spam
Quick note: aLERT: Your account has won a special bonus of $750. Verify your details to claim now. Thanks!,spam
"Hi Priya, reminder: the neighborhood cleanup event is this Thursday morning. Talk soon.",social
"FYI - act now! You qualify for a free iPhone. No purchase necessary, click here immediately. Let me know.",spam
"Hello, i've attached the meeting notes for your review. Let's discuss it in tomorrow's sync.",work
"Quick note: hey, are we still on for dinner this weekend? Cheers.",personal
"Hey Omar, final reminder: your tax documents are due by Thursday, please submit them soon.",important
"Hi Fatima, uRGENT: You have been selected to receive $250 cash prize. Claim before it expires! Let me know.",spam
"Hi Chen, your favorite items are back in stock at Stark Industries. Free shipping on orders over $50.",promotional
"Hi Sam, can you send me the latest version of the budget spreadsheet by end of day? Cheers.",work
Quick note: new arrivals just landed! Check out our latest spring collection now. Thanks!,promotional
"Hey Sam, nakatomi Trading Rewards: you've earned points! Redeem them for 50% off today. Let me know.",promotional
FYI - important: changes to your health insurance plan take effect on Friday.,important
"Flash sale: 10% off everything at Umbrella Inc store, this weekend only. Talk soon.",promotional
"Hi Priya, join us for the community event this Saturday at the park! Let me know.",social
"Hi Jordan, congratulations! You have won a $250 gift card. Click this link to claim your reward now! Best regards.",spam
"Hello, team standup is at 10 AM today. Please share your updates in the channel. Let me know.",work
FYI - hope you're feeling better! Let me know if you need anything. Cheers.,personal
"Hey Omar, happy birthday! Hope you have an amazing day, let's celebrate this weekend. Cheers.",personal
"Hey Maria, hope you're feeling better! Let me know if you need anything.",personal
"Hi Alex, don't miss our back-to-school clearance sale — up to 10% off select items. Thanks!",promotional
"Hi Jordan, don't miss our holiday clearance sale — up to 40% off select items. Best regards.",promotional
"Thanks for helping me move last weekend, I really appreciate it!",personal
Quick note: can you send me the latest version of the presentation deck by end of day?,work
FYI - join the local book club meeting this Friday evening at the library. Thanks!,social
Team standup is at 2 PM today. Please share your updates in the channel. Cheers.,work
"Hello, you have 5 new notifications waiting for you, tap to view. Best regards.",social
"Hey Noah, the client requested changes to the website redesign proposal. Can we talk today?",work
"Hi Ahmed, join the local book club meeting this Wednesday evening at the library. Best regards.",social
"Hey John, i've attached the quarterly report for your review. Let's discuss it in tomorrow's sync. Cheers.",work
"Hey Noah, weekly digest: see what your friends have been up to this week. Best regards.",social
FYI - notice: scheduled maintenance will affect your account access on next week. Let me know.,important
"Hi Alex, join us for the community event this Saturday at the park! Cheers.",social
FYI - new arrivals just landed! Check out our latest holiday collection now. Talk soon.,promotional
I've attached the project plan for your review. Let's discuss it in tomorrow's sync. Talk soon.,work
"Hi Ahmed, your account requires immediate verification due to a security issue.",important
"FYI - act now! You qualify for a free iPhone. No purchase necessary, click here immediately. Best regards.",spam
"Hey Sam, happy birthday! Hope you have an amazing day, let's celebrate this weekend.",personal
"Quick note: your payment for Initech could not be processed, please update your billing info. Talk soon.",important
Your group 'mobile app Fans' has 3 new posts today. Cheers.,social
"Hello, you won! Enter your bank details to receive your $1000 winnings instantly. Thanks!",spam
"Quick note: just booked the trip for next month, so excited to see you!",personal
"Quick note: flash sale: 40% off everything at Initech store, this weekend only. Let me know.",promotional
"Act now! You qualify for a free iPhone. No purchase necessary, click here immediately.",spam
"FYI - you have 5 new notifications waiting for you, tap to view. Cheers.",social
Last chance: our spring sale ends tonight. Save 30% before midnight. Best regards.,promotional
"Hey Ahmed, your subscription renewal for Wonka Industries failed, please update your payment method. Talk soon.",important
"Hey Omar, your favorite items are back in stock at Wayne Enterprises. Free shipping on orders over $50. Thanks!",promotional
