email_text,category
"hey omar, can you send me the latest version of the meeting notes by end of day? thanks!",work
fyi - i've attached the project plan for your review. let's discuss it in tomorrow's sync. talk soon.,work
fyi - thanks for shopping with wayne enterprises! here's a 20% coupon for your next order. cheers.,promotional
"hi jordan, join the local book club meeting this next week evening at the library. cheers.",social
"hello, action required: your password will expire in 24 hours, please reset it now. cheers.",important
"hello, please review the project plan before our meeting on friday.",work
"hey alex, join the local book club meeting this tuesday evening at the library. cheers.",social
"fyi - ahmed commented on your recent post, come see what they said! cheers.",social
"hi priya, please review the quarterly report before our meeting on next week.",work
"hey grace, final notice: claim your unclaimed prize of $5,000 now or lose it forever! thanks!",spam
quick note: get 70% off our spring collection today only! shop now before it's gone.,promotional
can you send me the latest version of the project plan by end of day?,work
"quick note: your subscription renewal for umbrella inc failed, please update your payment method. thanks!",important
"hello, join us for the community event this saturday at the park!",social
fyi - reminder: the website redesign deadline is monday. let me know if you need an extension. talk soon.,work
quick note: join the local book club meeting this wednesday evening at the library.,social
"hello, your subscription renewal for umbrella inc failed, please update your payment method. talk soon.",important
"hey chen, you have a new friend request on stark industries social. best regards.",social
quick note: your account requires immediate verification due to a security issue.,important
"hey noah, flash sale: 70% off everything at hooli store, this weekend only.",promotional
"hi priya, you have a new friend request on hooli social. thanks!",social
fyi - the client requested changes to the onboarding flow proposal. can we talk today? thanks!,work
"hey priya, can you believe the game last night? let's watch the next one together. let me know.",personal
fyi - team standup is at 4:30 pm today. please share your updates in the channel.,work
"fyi - hey, i found that recipe you were asking about, sending it over now. let me know.",personal
the client requested changes to the mobile app proposal. can we talk today? thanks!,work
"hi lena, you have a new friend request on hooli social. talk soon.",social
"hey sam, hooli rewards: you've earned points! redeem them for 30% off today. talk soon.",promotional
"hi omar, new newsletter from wayne enterprises: top picks and deals just for you this week. cheers.",promotional
"hello, just booked the trip for next month, so excited to see you! cheers.",personal
"your payment for globex could not be processed, please update your billing info. thanks!",important
"fyi - you've been invited to taylor's event, tap to rsvp. let me know.",social
fyi - get 10% off our spring collection today only! shop now before it's gone. let me know.,promotional
"you've been chosen for an exclusive $5,000 reward. click the link below before midnight! best regards.",spam
"hello, let's schedule a call to align on the onboarding flow roadmap this wednesday.",work
quick note: i've attached the project plan for your review. let's discuss it in tomorrow's sync. cheers.,work
you have a new friend request on acme corp social. talk soon.,social
"hello, important: changes to your health insurance plan take effect on thursday. talk soon.",important
"fatima tagged you in a photo, check it out now. best regards.",social
"hello, new arrivals just landed! check out our latest winter collection now. cheers.",promotional
"hey lena, let's schedule a call to align on the migration roadmap this next week. best regards.",work
"hey maria, you are our lucky winner! claim your free laptop today, limited time only! cheers.",spam
"hey lena, flash sale: 10% off everything at nakatomi trading store, this weekend only.",promotional
"hello, taylor commented on your recent post, come see what they said! let me know.",social
"hi priya, thanks for shopping with acme corp! here's a 20% coupon for your next order. best regards.",promotional
"hi ahmed, thanks for helping me move last weekend, i really appreciate it!",personal
"quick note: action required: your password will expire in 24 hours, please reset it now. best regards.",important
"hi jordan, join us for the community event this saturday at the park! best regards.",social
"hello, you are our lucky winner! claim your free gift card today, limited time only! talk soon.",spam
"hey jordan, action required: your password will expire in 24 hours, please reset it now. let me know.",important
"hello, you won! enter your bank details to receive your $5,000 winnings instantly. thanks!",spam
"final reminder: your tax documents are due by wednesday, please submit them soon. let me know.",important
"fyi - you won! enter your bank details to receive your $10,000 winnings instantly. best regards.",spam
"fyi - please find attached the quarterly report for the onboarding flow project, feedback welcome.",work
quick note: you won! enter your bank details to receive your $1000 winnings instantly. let me know.,spam
fyi - following up on the migration status — are we still on track for next week?,work
"hi sam, new newsletter from initech: top picks and deals just for you this week. let me know.",promotional
"thanks for helping me move last weekend, i really appreciate it! talk soon.",personal
"hi omar, it was great catching up yesterday, let's do it again soon! cheers.",personal
"hey lena, please review the quarterly report before our meeting on tuesday. talk soon.",work
don't miss our back-to-school clearance sale — up to 20% off select items. cheers.,promotional
"your payment for nakatomi trading could not be processed, please update your billing info. cheers.",important
"fyi - you've been invited to omar's event, tap to rsvp. cheers.",social
"hey ahmed, please review the quarterly report before our meeting on next week. thanks!",work
"fyi - hey, are we still on for dinner this weekend? thanks!",personal
fyi - the meeting has been moved to 10 am tomorrow. please update your calendar. let me know.,work
"hello, can you believe the game last night? let's watch the next one together. talk soon.",personal
"hi taylor, chen tagged you in a photo, check it out now. cheers.",social
"hello, please review the presentation deck before our meeting on wednesday.",work
quick note: important: changes to your health insurance plan take effect on friday. cheers.,important
"fyi - can't wait for the weekend hike, what time should we meet up?",personal
fyi - new arrivals just landed! check out our latest fall collection now. let me know.,promotional
"hey fatima, reminder: the onboarding flow deadline is monday. let me know if you need an extension. let me know.",work
"hey noah, hey, i found that recipe you were asking about, sending it over now.",personal
quick note: join us for the community event this saturday at the park!,social
"fyi - you are our lucky winner! claim your free vacation package today, limited time only! thanks!",spam
"hi john, your group 'mobile app fans' has 3 new posts today. let me know.",social
quick note: hope you're feeling better! let me know if you need anything. thanks!,personal
don't miss our fall clearance sale — up to 20% off select items. cheers.,promotional
"hi taylor, happy birthday! hope you have an amazing day, let's celebrate this weekend.",personal
quick note: urgent: you have been selected to receive $250 cash prize. claim before it expires! let me know.,spam
"hello, you are our lucky winner! claim your free vacation package today, limited time only! best regards.",spam
"hey sara, your payment for hooli could not be processed, please update your billing info. best regards.",important
quick note: hope you're feeling better! let me know if you need anything. let me know.,personal
"hello, final notice: claim your unclaimed prize of $750 now or lose it forever! talk soon.",spam
"hello, your account requires immediate verification due to a security issue. talk soon.",important
"hello, you've been chosen for an exclusive $750 reward. click the link below before midnight! cheers.",spam
fyi - can you send me the latest version of the budget spreadsheet by end of day? let me know.,work
"fyi - happy birthday! hope you have an amazing day, let's celebrate this weekend. talk soon.",personal
fyi - last chance: our holiday sale ends tonight. save 70% before midnight. best regards.,promotional
"fyi - we detected unusual sign-in activity on your account, please confirm it was you. cheers.",important
"quick note: hey, i found that recipe you were asking about, sending it over now. talk soon.",personal
quick note: globex rewards: you've earned points! redeem them for 20% off today. talk soon.,promotional
"hello, happy birthday! hope you have an amazing day, let's celebrate this weekend. cheers.",personal
"hey lena, happy birthday! hope you have an amazing day, let's celebrate this weekend. let me know.",personal
quick note: can you believe the game last night? let's watch the next one together. best regards.,personal
"hey john, urgent: you have been selected to receive $1000 cash prize. claim before it expires! best regards.",spam
"hello, initech rewards: you've earned points! redeem them for 10% off today. thanks!",promotional
"hello, weekly digest: see what your friends have been up to this week.",social
important: changes to your health insurance plan take effect on next week. best regards.,important
the meeting has been moved to 4:30 pm tomorrow. please update your calendar. thanks!,work
"hello, can you believe the game last night? let's watch the next one together. cheers.",personal
quick note: reminder: your annual review with hr is scheduled for next week at 2 pm. thanks!,important
"fyi - thanks for helping me move last weekend, i really appreciate it! cheers.",personal
"hello, hope you're feeling better! let me know if you need anything. best regards.",personal
"hi sam, thanks for helping me move last weekend, i really appreciate it! thanks!",personal
your account requires immediate verification due to a security issue.,important
"hi jordan, new newsletter from nakatomi trading: top picks and deals just for you this week. talk soon.",promotional
"quick note: you are our lucky winner! claim your free gift card today, limited time only! cheers.",spam
fyi - congratulations! you have won a $1000 gift card. click this link to claim your reward now! talk soon.,spam
important: changes to your health insurance plan take effect on thursday.,important
"quick note: sara commented on your recent post, come see what they said! best regards.",social
"hello, don't miss our spring clearance sale — up to 30% off select items. let me know.",promotional
"hello, we detected unusual sign-in activity on your account, please confirm it was you.",important
"hi ahmed, ahmed commented on your recent post, come see what they said! let me know.",social
"quick note: we detected unusual sign-in activity on your account, please confirm it was you. let me know.",important
"hello, notice: scheduled maintenance will affect your account access on monday. best regards.",important
"hey sara, the meeting has been moved to 9 am tomorrow. please update your calendar. let me know.",work
quick note: i've attached the budget spreadsheet for your review. let's discuss it in tomorrow's sync.,work
"hey priya, free iphone waiting for you! just click and confirm your shipping address to claim.",spam
quick note: alert: your account has won a special bonus of $750. verify your details to claim now. thanks!,spam
"hi priya, reminder: the neighborhood cleanup event is this thursday morning. talk soon.",social
"fyi - act now! you qualify for a free iphone. no purchase necessary, click here immediately. let me know.",spam
"hello, i've attached the meeting notes for your review. let's discuss it in tomorrow's sync.",work
"quick note: hey, are we still on for dinner this weekend? cheers.",personal
"hey omar, final reminder: your tax documents are due by thursday, please submit them soon.",important
"hi fatima, urgent: you have been selected to receive $250 cash prize. claim before it expires! let me know.",spam
"hi chen, your favorite items are back in stock at stark industries. free shipping on orders over $50.",promotional
"hi sam, can you send me the latest version of the budget spreadsheet by end of day? cheers.",work
quick note: new arrivals just landed! check out our latest spring collection now. thanks!,promotional
"hey sam, nakatomi trading rewards: you've earned points! redeem them for 50% off today. let me know.",promotional
fyi - important: changes to your health insurance plan take effect on friday.,important
"flash sale: 10% off everything at umbrella inc store, this weekend only. talk soon.",promotional
"hi priya, join us for the community event this saturday at the park! let me know.",social
"hi jordan, congratulations! you have won a $250 gift card. click this link to claim your reward now! best regards.",spam
"hello, team standup is at 10 am today. please share your updates in the channel. let me know.",work
fyi - hope you're feeling better! let me know if you need anything. cheers.,personal
"hey omar, happy birthday! hope you have an amazing day, let's celebrate this weekend. cheers.",personal
"hey maria, hope you're feeling better! let me know if you need anything.",personal
"hi alex, don't miss our back-to-school clearance sale — up to 10% off select items. thanks!",promotional
"hi jordan, don't miss our holiday clearance sale — up to 40% off select items. best regards.",promotional
"thanks for helping me move last weekend, i really appreciate it!",personal
quick note: can you send me the latest version of the presentation deck by end of day?,work
fyi - join the local book club meeting this friday evening at the library. thanks!,social
team standup is at 2 pm today. please share your updates in the channel. cheers.,work
"hello, you have 5 new notifications waiting for you, tap to view. best regards.",social
"hey noah, the client requested changes to the website redesign proposal. can we talk today?",work
"hi ahmed, join the local book club meeting this wednesday evening at the library. best regards.",social
"hey john, i've attached the quarterly report for your review. let's discuss it in tomorrow's sync. cheers.",work
"hey noah, weekly digest: see what your friends have been up to this week. best regards.",social
fyi - notice: scheduled maintenance will affect your account access on next week. let me know.,important
"hi alex, join us for the community event this saturday at the park! cheers.",social
fyi - new arrivals just landed! check out our latest holiday collection now. talk soon.,promotional
i've attached the project plan for your review. let's discuss it in tomorrow's sync. talk soon.,work
"hi ahmed, your account requires immediate verification due to a security issue.",important
"fyi - act now! you qualify for a free iphone. no purchase necessary, click here immediately. best regards.",spam
"hey sam, happy birthday! hope you have an amazing day, let's celebrate this weekend.",personal
"quick note: your payment for initech could not be processed, please update your billing info. talk soon.",important
your group 'mobile app fans' has 3 new posts today. cheers.,social
"hello, you won! enter your bank details to receive your $1000 winnings instantly. thanks!",spam
"quick note: just booked the trip for next month, so excited to see you!",personal
"quick note: flash sale: 40% off everything at initech store, this weekend only. let me know.",promotional
"act now! you qualify for a free iphone. no purchase necessary, click here immediately.",spam
"fyi - you have 5 new notifications waiting for you, tap to view. cheers.",social
last chance: our spring sale ends tonight. save 30% before midnight. best regards.,promotional
"hey ahmed, your subscription renewal for wonka industries failed, please update your payment method. talk soon.",important
"hey omar, your favorite items are back in stock at wayne enterprises. free shipping on orders over $50. thanks!",promotional
"hey priya, following up on the onboarding flow status — are we still on track for wednesday? thanks!",work
"hey sara, join us for the community event this saturday at the park!",social
get 50% off our summer collection today only! shop now before it's gone. talk soon.,promotional
"hey lena, act now! you qualify for a free smartwatch. no purchase necessary, click here immediately. best regards.",spam
"hey maria, exclusive member discount: 70% off your next purchase at acme corp.",promotional
fyi - join the local book club meeting this tuesday evening at the library.,social
"hi john, exclusive member discount: 70% off your next purchase at wonka industries. talk soon.",promotional
fyi - thanks for shopping with umbrella inc! here's a 40% coupon for your next order. let me know.,promotional
"fyi - you've been invited to omar's event, tap to rsvp.",social
fyi - join us for the community event this saturday at the park! best regards.,social
"fyi - hey, are we still on for dinner this weekend? let me know.",personal
"happy birthday! hope you have an amazing day, let's celebrate this weekend. let me know.",personal
fyi - you have a new friend request on wonka industries social. thanks!,social
"hi priya, reminder: your annual review with hr is scheduled for thursday at 4:30 pm. talk soon.",important
new newsletter from wayne enterprises: top picks and deals just for you this week.,promotional
